position,checkpoint,formation,cumul_received_unsucc,cumul_in_game_time,cumul_pressured_success_rate,cumul_top_hsr_share,distance_per_run,distance_per_possession,top_distance_share,cumul_unique_run_possessions,cumul_sprints,cumul_bottom_sprint_share,cumul_pressure_success_rate,cumul_top_run_share,player_share_team_cumul_shots,player_share_team_shots_on_target,cumul_pass_middle_accuracy_rate,cumul_pass_top_accuracy_rate,cumul_pressure_turnover_rate,cumul_pressure_forward_rate,player_z_team_top_distance_share,scored_after
A,H1_15,4-1-4-1,0,14,0.25,0.06666666666666667,9.647280369012455,91.64916350561832,0.19121486235714136,2.0,4,0.0,0.2222222222222222,0.15789473684210525,0.0,0.0,0,0,0.75,0.0,1.0025439709872757,0
A,H1_30,4-1-4-1,0,29,0.25,0.23809523809523808,10.544959641739949,47.45231838782977,0.7907536974106564,2.0,7,0.0,0.2222222222222222,0.35714285714285715,0.0,0.0,1,0,0.75,0.0,1.8271971707181058,0
A,H1_45,4-1-4-1,0,44,0.375,0.3076923076923077,13.400787519542474,40.20236255862742,0.6658845742234081,2.0,8,0.0,0.20833333333333334,0.4117647058823529,0.0,0.0,1,0,0.625,0.25,1.2717546038852827,0
A,H2_15,4-1-4-1,0,59,0.4444444444444444,0.40540540540540543,12.270390713010224,79.75753963456646,0.5671117066240499,2.0,10,0.0,0.21428571428571427,0.46808510638297873,0.0,0.0,1,0,0.5555555555555556,0.3333333333333333,1.116023549615913,0
A,H2_30,4-1-4-1,0,74,0.3333333333333333,0.36363636363636365,15.554567972487067,69.9955558761918,0.25552470966491025,2.0,12,0.0,0.20689655172413793,0.42857142857142855,0.0,0.0,0,0,0.6666666666666666,0.25,0.5445139739927449,0
M,H1_15,4-1-4-1,2,14,0.25,0.3333333333333333,10.649417864042809,69.22121611627826,0.17699104291963189,2.0,4,0.25,0.2222222222222222,0.23076923076923078,0.0,0.0,1,0,0.75,0.0,0.8420564679520759,1
M,H1_30,4-1-4-1,2,29,0.42857142857142855,0.3333333333333333,10.724808369553491,37.53682929343722,0.49986475217168214,2.0,5,0.2,0.2857142857142857,0.3,0.0,0.0,0,1,0.5714285714285714,0.14285714285714285,0.641076402509023,1
M,H1_45,4-1-4-1,2,44,0.42857142857142855,0.391304347826087,13.749872299558096,61.87442534801143,0.629210880561886,2.0,6,0.16666666666666666,0.22727272727272727,0.3793103448275862,0.2,0.25,0,0,0.5714285714285714,0.07142857142857142,1.1165307062001766,1
M,H2_15,4-1-4-1,2,59,0.42857142857142855,0.4375,17.02788107996809,119.19516755977664,0.608179867160609,2.0,11,0.09090909090909091,0.24242424242424243,0.4418604651162791,0.2857142857142857,0.3333333333333333,0,0,0.5714285714285714,0.07142857142857142,1.3211498132340962,0
M,H2_30,4-1-4-1,3,74,0.3684210526315789,0.47368421052631576,12.670117966252118,44.34541288188241,0.6653467868381712,2.0,12,0.08333333333333333,0.23684210526315788,0.48,0.25,0.3333333333333333,0,0,0.5789473684210527,0.10526315789473684,2.7624257273866397,0
M,H1_15,4-1-4-1,0,14,0.0,0.125,19.176291670139115,153.41033336111292,0.16421428118370432,1.0,0,0.0,0.0,0.125,0.0,0.0,1,0,0.0,0.0,0.6978961320533144,0
M,H1_30,4-1-4-1,0,29,0.5,0.29411764705882354,11.625747454761587,63.941611001188726,0.4553895273342609,2.0,2,0.5,0.42857142857142855,0.3157894736842105,0.0,0.0,1,0,0.5,0.0,0.45972544808517735,0
M,H1_45,4-1-4-1,0,44,0.42857142857142855,0.2857142857142857,13.151987492353964,32.87996873088491,0.5029283304106333,2.0,3,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,1,0,0.5714285714285714,0.14285714285714285,0.5820312411337832,0
M,H2_15,4-1-4-1,0,59,0.42857142857142855,0.25806451612903225,11.43006890032822,62.865378951805205,0.29048930376393367,2.0,4,0.25,0.3076923076923077,0.3142857142857143,0.0,0.0,1,0,0.5714285714285714,0.14285714285714285,-0.26564339602843456,0
M,H2_30,4-1-4-1,1,74,0.42857142857142855,0.25,13.440888434426984,33.60222108606746,0.08392874686672566,2.0,4,0.25,0.35714285714285715,0.3,0.0,0.0,1,0,0.5714285714285714,0.14285714285714285,-0.38414439734271366,0
M,H1_15,4-1-4-1,0,14,0.5,0.1,17.81923710141193,124.7346597098835,0.047833520956091655,2.0,4,0.0,0.3333333333333333,0.07142857142857142,0.0,0.0,0,0,0.5,0.0,-0.6152291991789711,0
M,H1_30,4-1-4-1,0,29,0.3333333333333333,0.15,9.442993728246396,70.82245296184797,0.343163770453701,2.0,9,0.0,0.2,0.20689655172413793,0.0,0.0,1,0,0.6666666666666666,0.0,0.002116786282444327,0
M,H1_45,4-1-4-1,0,44,0.5,0.16666666666666666,10.78997967385352,70.13486788004788,0.34485125320022847,2.0,12,0.0,0.16666666666666666,0.21428571428571427,0.0,0.0,0,1,0.5,0.125,-0.08704071779499552,0
M,H2_15,4-1-4-1,1,59,0.45454545454545453,0.23076923076923078,15.085198883776608,98.05379274454795,0.22020412141324705,2.0,16,0.0,0.4166666666666667,0.23636363636363636,0.0,0.0,0,1,0.5454545454545454,0.18181818181818182,-0.6167021397110156,0
M,H2_30,4-1-4-1,2,74,0.42857142857142855,0.23404255319148937,10.749721123138015,59.123466177259075,0.16552117137412684,2.0,19,0.0,0.375,0.22727272727272727,0.0,0.0,0,1,0.5,0.14285714285714285,0.05742477958174577,0
M,H1_15,4-1-4-1,2,14,0.3333333333333333,0.2,13.28754821415224,79.72528928491344,0.13023256408702183,2.0,2,0.5,0.5714285714285714,0.16666666666666666,0.0,0.0,0,0,0.6666666666666666,0.0,0.31448006370015474,0
M,H1_30,4-1-4-1,2,29,0.4,0.3125,13.82857343071432,48.40000700750012,0.5415901724209515,2.0,3,0.3333333333333333,0.46153846153846156,0.3157894736842105,0.6666666666666666,0.5,0,0,0.6,0.0,0.8112148293208481,0
M,H1_45,4-1-4-1,4,44,0.5,0.36,13.405504240056425,60.324769080253915,0.29011661010575984,2.0,3,0.3333333333333333,0.42857142857142855,0.35714285714285715,0.4,0.25,0,0,0.5,0.0,-0.31870880985960004,0
M,H2_15,4-1-4-1,4,59,0.42857142857142855,0.3611111111111111,12.953414440265766,77.72048664159459,0.43347824062631984,2.0,4,0.25,0.4666666666666667,0.375,0.2857142857142857,0.16666666666666666,0,0,0.42857142857142855,0.0,0.44855431758006975,0
M,H2_30,4-1-4-1,4,74,0.5,0.3333333333333333,13.773550300325478,55.094201201301914,0.14575986041763883,2.0,6,0.16666666666666666,0.42105263157894735,0.3333333333333333,0.375,0.16666666666666666,1,0,0.4,0.1,-0.049521249619938076,0
D,H1_15,4-1-4-1,1,14,0.3333333333333333,0.1111111111111111,9.41878098101071,51.803295395558905,0.18279341966270585,2.0,2,0.5,0.625,0.18181818181818182,0.0,0.0,1,1,0.6666666666666666,0.0,0.9075247452496472,1
D,H1_30,4-1-4-1,2,29,0.3333333333333333,0.2222222222222222,13.21991645230552,66.0995822615276,0.3083199538416849,2.0,3,0.3333333333333333,0.45454545454545453,0.2857142857142857,0.3333333333333333,0.5,0,1,0.6666666666666666,0.0,-0.13996140267460896,1
D,H1_45,4-1-4-1,2,44,0.42857142857142855,0.22727272727272727,15.658980875845554,54.80643306545944,0.33760184663185167,2.0,6,0.5,0.5384615384615384,0.2857142857142857,0.2,0.25,0,1,0.5714285714285714,0.0,-0.1177243231561893,1
D,H2_15,4-1-4-1,3,59,0.3333333333333333,0.26666666666666666,9.938640398809378,44.7238817946422,0.4570395357886518,2.0,7,0.42857142857142855,0.5714285714285714,0.32432432432432434,0.2857142857142857,0.3333333333333333,0,0,0.5555555555555556,0.0,0.5662377097629732,0
D,H2_30,4-1-4-1,3,74,0.3333333333333333,0.25,15.260182125745139,45.78054637723542,0.17621015250344152,2.0,7,0.42857142857142855,0.5294117647058824,0.3023255813953488,0.25,0.3333333333333333,0,0,0.5555555555555556,0.0,0.11527236320152684,0
M,H1_15,4-1-4-1,3,14,0.6666666666666666,0.25,13.745099469818017,61.852947614181076,0.2326865166579933,2.0,1,0.0,0.5,0.2222222222222222,0.0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.4704690789179282,0
M,H1_30,4-1-4-1,3,29,0.75,0.3076923076923077,13.439877205928084,33.59969301482021,0.315221059989625,2.0,1,0.0,0.38461538461538464,0.2857142857142857,0.0,0.0,0,0,0.25,0.375,-0.11182164191827479,0
M,H1_45,4-1-4-1,3,44,0.625,0.3684210526315789,15.062531975628804,52.71886191470082,0.5079857357973818,2.0,2,0.0,0.4117647058823529,0.3333333333333333,0.2,0.25,0,0,0.375,0.25,0.6034370527095178,0
M,H2_15,4-1-4-1,4,59,0.6470588235294118,0.391304347826087,19.504002421080372,48.76000605270093,0.40293140771051217,2.0,3,0.0,0.4117647058823529,0.34615384615384615,0.14285714285714285,0.16666666666666666,0,0,0.35294117647058826,0.23529411764705882,0.2959797289078901,0
M,H2_30,4-1-4-1,4,74,0.6666666666666666,0.37037037037037035,14.074182646040233,70.37091323020117,0.21172204039181172,2.0,4,0.25,0.5,0.3225806451612903,0.125,0.16666666666666666,0,0,0.3333333333333333,0.2222222222222222,0.3074587726699562,0
G,H1_30,4-1-4-1,2,29,0.0,0.0,11.41317391304348,11.41317391304348,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.1149834284914826,0
G,H1_45,4-1-4-1,3,44,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,-0.8348171616362179,0
G,H2_15,4-1-4-1,3,59,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,-0.5855166199606476,0
G,H2_30,4-1-4-1,4,74,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,-1.1976929383324506,0
D,H1_15,4-1-4-1,0,14,1.0,0.2727272727272727,14.605291148961285,116.84232919169028,0.06935224704752327,2.0,5,0.2,0.5,0.1875,0.0,0.0,1,0,0.0,0.3333333333333333,-1.1298867229342648,1
D,H1_30,4-1-4-1,0,29,1.0,0.21428571428571427,14.168035710646691,42.504107131940074,0.0,2.0,8,0.375,0.6,0.13636363636363635,0.2,0.3333333333333333,1,0,0.0,0.6,-1.1149834284914826,0
D,H1_45,4-1-4-1,1,44,1.0,0.19230769230769232,12.659121944826488,94.94341458619866,0.05334766095136165,2.0,11,0.36363636363636365,0.5,0.13513513513513514,0.14285714285714285,0.25,1,0,0.0,0.42857142857142855,-0.5817431384559941,0
D,H2_15,4-1-4-1,1,59,0.8181818181818182,0.22857142857142856,19.413625103257964,135.89537572280574,0.23400106423944514,2.0,16,0.25,0.5,0.19607843137254902,0.16666666666666666,0.3333333333333333,1,0,0.18181818181818182,0.36363636363636365,0.4835679893457846,0
D,H2_30,4-1-4-1,1,74,0.7692307692307693,0.2608695652173913,13.131454643916124,98.48590982937093,0.5335342049768432,2.0,20,0.2,0.45454545454545453,0.25757575757575757,0.125,0.25,1,0,0.23076923076923078,0.3076923076923077,1.0834603832883272,0
D,H1_15,4-1-4-1,0,14,0.875,0.14285714285714285,12.776258337406897,51.10503334962759,0.13482666925256276,2.0,1,0.0,1.0,0.125,0.0,0.0,1,0,0.125,0.25,-0.9057233493784149,0
D,H1_30,4-1-4-1,0,29,0.7857142857142857,0.1111111111111111,10.85018596902529,32.55055790707587,0.0,2.0,2,0.5,1.0,0.09090909090909091,0.0,0.0,1,0,0.21428571428571427,0.35714285714285715,-1.1149834284914826,0
D,H1_45,4-1-4-1,0,44,0.8,0.08333333333333333,14.35172963580247,28.70345927160494,0.0,2.0,3,0.6666666666666666,1.0,0.06666666666666667,0.0,0.0,1,0,0.2,0.4,-0.8348171616362179,0
D,H2_15,4-1-4-1,1,59,0.8125,0.058823529411764705,16.573814910620044,49.72144473186013,0.0,2.0,4,0.75,1.0,0.047619047619047616,0.0,0.0,0,0,0.1875,0.375,-0.5855166199606476,0
D,H2_30,4-1-4-1,1,74,0.8125,0.13636363636363635,13.996220161480172,69.98110080740086,0.27329836497920423,2.0,4,0.75,0.6666666666666666,0.11538461538461539,0.0,0.0,0,0,0.1875,0.375,-0.02919152408310901,0
D,H1_15,4-1-4-1,0,14,1.0,0.1111111111111111,12.469356098780434,62.34678049390217,0.07701690543636991,2.0,1,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,-1.1036453965699558,1
D,H1_30,4-1-4-1,0,29,1.0,0.15384615384615385,9.381521313588372,28.144563940765117,0.24308443609019967,2.0,3,0.6666666666666666,0.0,0.125,0.2,0.0,0,0,0.0,0.0,0.0042893224733137995,1
D,H1_45,4-1-4-1,0,44,1.0,0.125,11.012308112224716,44.04923244889886,0.0,2.0,4,0.75,0.4,0.1,0.14285714285714285,0.0,0,0,0.0,0.0,-0.8348171616362179,1
D,H2_15,4-1-4-1,1,59,1.0,0.09090909090909091,13.601352900834033,47.60473515291912,0.0,2.0,5,0.8,0.5,0.07407407407407407,0.16666666666666666,0.0,0,0,0.0,0.0,-0.5855166199606476,1
D,H2_30,4-1-4-1,4,74,0.875,0.12,13.729690052910051,41.18907015873015,0.10927540640288985,2.0,5,0.8,0.625,0.1,0.125,0.0,0,0,0.0,0.25,-0.7304802386364081,1
M,H1_15,4-1-4-1,0,14,0.6666666666666666,0.5714285714285714,10.85630709060332,48.85338190771494,0.6012497758017894,2.0,2,0.0,0.75,0.5555555555555556,0.0,0.0,1,0,0.3333333333333333,0.16666666666666666,0.6911594263267339,0
M,H1_30,4-1-4-1,2,29,0.6428571428571429,0.5,11.589929166496367,23.179858332992733,0.19757270520306444,2.0,3,0.3333333333333333,0.6666666666666666,0.46153846153846156,0.0,0.0,1,0,0.21428571428571427,0.21428571428571427,-0.20526765719407786,0
M,H1_45,4-1-4-1,2,44,0.6818181818181818,0.5,19.360292388289675,58.08087716486902,0.11497966845513394,2.0,4,0.5,0.6153846153846154,0.4375,0.0,0.0,0,0,0.22727272727272727,0.22727272727272727,-0.289369305798664,0
M,H2_15,4-1-4-1,2,59,0.6521739130434783,0.4375,21.492241585135897,42.984483170271794,0.07127970845745672,2.0,4,0.5,0.6153846153846154,0.4,0.0,0.0,0,0,0.2608695652173913,0.21739130434782608,-0.2598598135892904,0
M,H2_30,4-1-4-1,2,74,0.6296296296296297,0.3333333333333333,8.442642112340542,25.327926337021626,0.0,2.0,5,0.6,0.6875,0.3076923076923077,0.125,0.25,0,0,0.2962962962962963,0.2222222222222222,-1.1976929383324506,0
M,H1_15,4-1-4-1,1,14,0.2857142857142857,0.8333333333333334,11.956895813160775,47.8275832526431,0.8986242287442585,2.0,2,0.0,0.6666666666666666,0.875,1.0,1.0,1,0,0.5714285714285714,0.14285714285714285,1.7092739561832255,0
M,H1_30,4-1-4-1,3,29,0.5,0.8888888888888888,13.762000645250513,27.524001290501026,0.6359551834689801,2.0,3,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.2,0.3333333333333333,1,0,0.3333333333333333,0.16666666666666666,1.813247268382593,0
M,H1_45,4-1-4-1,3,44,0.42857142857142855,0.75,17.99895726314042,62.99635042099146,0.2014482602991634,2.0,7,0.2857142857142857,0.5714285714285714,0.631578947368421,0.2857142857142857,0.25,1,0,0.35714285714285715,0.14285714285714285,0.12082589351191952,0
M,H2_15,4-1-4-1,4,59,0.4,0.6666666666666666,18.291184218394346,73.16473687357738,0.22893247285059298,2.0,9,0.2222222222222222,0.5,0.5555555555555556,0.3333333333333333,0.3333333333333333,0,0,0.4,0.13333333333333333,0.46041103037084535,0
M,H2_30,4-1-4-1,4,74,0.4117647058823529,0.625,10.838094395348065,32.514283186044196,0.5224560364690393,2.0,9,0.2222222222222222,0.5555555555555556,0.5454545454545454,0.25,0.25,0,0,0.4117647058823529,0.11764705882352941,1.0360950960146678,0
M,H1_15,4-1-4-1,0,14,0.7142857142857143,0.6666666666666666,10.414046453876235,41.65618581550494,0.28729452650558546,1.0,1,0.0,0.0,0.5,0.0,0.0,0,0,0.2857142857142857,0.0,-0.3837224200133794,0
M,H1_30,4-1-4-1,0,29,0.6875,0.2857142857142857,13.976803482690178,34.942008706725446,0.0,2.0,2,0.5,0.0,0.2222222222222222,0.2,0.0,0,0,0.3125,0.125,-1.1149834284914826,0
M,H1_45,4-1-4-1,2,44,0.75,0.18181818181818182,14.684902455979579,102.79431719185705,0.0,2.0,5,0.6,0.375,0.125,0.14285714285714285,0.0,0,0,0.25,0.15,-0.8348171616362179,0
M,H2_15,4-1-4-1,3,59,0.8076923076923077,0.13333333333333333,18.733873038424562,112.40323823054737,0.0,2.0,7,0.5714285714285714,0.36363636363636365,0.09090909090909091,0.16666666666666666,0.0,0,0,0.19230769230769232,0.15384615384615385,-0.5855166199606476,0
M,H2_30,4-1-4-1,4,74,0.8214285714285714,0.10526315789473684,11.095909705539302,55.479548527696515,0.0,2.0,8,0.5,0.4166666666666667,0.07407407407407407,0.125,0.0,0,0,0.17857142857142858,0.17857142857142858,-1.1976929383324506,0
A,H1_15,4-1-4-1,0,14,0.0,0.75,10.995235036816519,32.98570511044956,0.7909570960172534,2.0,2,0.0,0.5,0.8333333333333334,0.0,0.0,0,0,1.0,0.0,1.3406563054983558,1
A,H1_30,4-1-4-1,0,29,0.2857142857142857,0.5,11.780992823456566,88.35744617592425,0.2573289066899452,2.0,7,0.0,0.36363636363636365,0.47619047619047616,0.2,0.3333333333333333,0,1,0.7142857142857143,0.14285714285714285,0.06987742860898716,0
A,H1_45,4-1-4-1,0,44,0.36363636363636365,0.42857142857142855,14.141628377123656,63.63732769705645,0.568164202069298,2.0,9,0.0,0.45,0.4666666666666667,0.14285714285714285,0.25,0,1,0.6363636363636364,0.18181818181818182,1.8604762754228783,0
A,H2_15,4-1-4-1,0,59,0.38461538461538464,0.48,14.288784104706808,57.15513641882723,0.767517172381778,2.0,13,0.0,0.5217391304347826,0.5,0.16666666666666666,0.3333333333333333,0,1,0.6153846153846154,0.15384615384615385,2.921052031932832,0
M,H1_15,4-1-4-1,0,14,0.4,0.375,11.546788413103112,92.3743073048249,0.5165214093031026,2.0,0,0.0,0.5,0.375,0.0,0.0,1,0,0.6,0.0,0.40107673707834807,0
M,H1_30,4-1-4-1,0,29,0.5,0.4090909090909091,10.819860942295238,37.86951329803333,0.47653886803285617,2.0,1,0.0,0.4,0.391304347826087,0.0,0.0,1,0,0.5,0.1,1.0792210970786715,0
M,H1_45,4-1-4-1,0,44,0.5882352941176471,0.4444444444444444,11.522838643356643,28.807096608391607,0.5314819005427109,2.0,1,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.25,1,0,0.4117647058823529,0.11764705882352941,1.686460443026641,0
M,H2_30,4-1-4-1,0,9,0.5,0.5,11.042642026851006,82.81981520138254,0.4113660085786065,2.0,3,0.0,0.5,0.4666666666666667,0.0,0.0,0,0,0.5,0.5,0.5611238875010461,0
M,H1_15,4-1-4-1,0,14,0.3333333333333333,0.5,13.126984935122517,65.63492467561258,0.4724054591734083,2.0,4,0.0,0.5,0.6,0.0,0.0,1,1,0.6666666666666666,0.0,0.2500379057966456,0
M,H1_30,4-1-4-1,1,29,0.5,0.45454545454545453,15.643596807162462,46.93079042148739,0.38181091113338106,2.0,5,0.2,0.5,0.5,0.0,0.0,1,1,0.5,0.0,0.6430499352490935,0
M,H1_45,4-1-4-1,2,44,0.4,0.4375,14.070785438922812,49.24774903622984,0.4046066945167405,2.0,7,0.14285714285714285,0.6363636363636364,0.4782608695652174,0.0,0.0,1,1,0.6,0.0,1.0845817803410078,0
M,H2_15,4-1-4-1,3,59,0.3333333333333333,0.36363636363636365,21.878911086575954,65.63673325972786,0.06978637985949929,2.0,7,0.14285714285714285,0.6428571428571429,0.41379310344827586,0.0,0.0,1,1,0.6666666666666666,0.0,-0.26668240914415425,0
D,H1_15,4-1-4-1,0,14,0.4,0.5714285714285714,14.7194064497714,80.9567354737427,0.5448603267087494,2.0,4,0.0,0.6666666666666666,0.5454545454545454,0.0,0.0,0,1,0.6,0.0,0.4981000801584406,0
D,H1_30,4-1-4-1,2,29,0.5714285714285714,0.5454545454545454,10.449055183076542,36.5716931407679,0.47139064788934476,2.0,7,0.2857142857142857,0.6666666666666666,0.5,0.0,0.0,0,1,0.42857142857142855,0.14285714285714285,1.055516319367349,0
D,H1_45,4-1-4-1,3,44,0.6666666666666666,0.3333333333333333,12.613951064463906,69.37673085455148,0.061733196644852786,2.0,8,0.25,0.5,0.3448275862068966,0.0,0.0,0,1,0.3333333333333333,0.2222222222222222,-0.5419633015029176,0
A,H2_30,4-1-4-1,0,9,0.0,0.7142857142857143,10.26727950055889,41.06911800223556,0.687566670675937,2.0,1,1.0,0.0,0.625,0.125,0.0,0,0,1.0,0.0,1.7420342244578484,0
M,H2_15,4-1-4-1,0,1,0.3333333333333333,0.0,28.859400289017344,28.859400289017344,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.3333333333333333,0.3333333333333333,-0.5855166199606476,0
M,H2_30,4-1-4-1,1,16,0.1111111111111111,0.42857142857142855,12.198353528025935,79.28929793216858,0.3960118600779646,2.0,1,0.0,0.0,0.4666666666666667,0.125,0.25,0,0,0.7777777777777778,0.1111111111111111,0.49547642474011927,0
D,H2_15,4-1-4-1,0,14,0.0,0.14285714285714285,12.780347522478245,70.29191137363034,0.03821880319903413,2.0,4,0.5,0.0,0.09090909090909091,0.0,0.0,0,1,0.0,0.0,-0.4109057291127791,0
D,H2_30,4-1-4-1,1,29,1.0,0.17647058823529413,11.312030666749841,73.52819933387397,0.14787645586746148,2.0,7,0.42857142857142855,1.0,0.125,0.0,0.0,0,1,0.0,0.3333333333333333,-0.5654394382851404,0
G,H1_15,4-4-2,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.3397309805765159,0
G,H1_30,4-4-2,8,29,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.2340755557654175,0
G,H1_45,4-4-2,24,44,1.0,0.0,8.249999999999998,8.249999999999998,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.5151018424287392,0
G,H2_15,4-4-2,33,59,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.4712098032079826,0
G,H2_30,4-4-2,35,74,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.3244710455261268,0
D,H1_15,4-4-2,2,14,0.75,0.375,10.82180173854327,54.10900869271635,0.38058109330054174,2.0,2,0.0,0.6,0.4,0.0,0.0,0,0,0.25,0.0,0.5326195891128799,0
D,H1_30,4-4-2,8,29,0.7142857142857143,0.3333333333333333,10.207053725128208,40.82821490051283,0.20576596602231387,2.0,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,0.2857142857142857,0.0,-0.16102791169614242,0
