player_appearance_id,window_type,start_checkpoint,end_checkpoint,start_abs,end_abs,window_id,id,period,body_part,technique,play_pattern,own_goal_player_appearance_id,block_player_appearance_id,minute,possession,stage,under_pressure,abs_minute,inference_status,fixture_id,date,pre_goal_checkpoint,position,is_home,formation,minute_in,minute_out,subbed,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third
39703,tail,H2_30,END,75,86,15,287,half_2,right_foot,normal,penalty,,,37,2296,top,False,82,exact_single_shot,1165,2025-06-12,H2_30,A,True,4-4-2,1,86,True,1,8,126.17,6.69,7.75,0,0,0,0,4,27,387.47,6.598,7.75,3,2,3,2
39745,transition,H1_45,H2_15,45,60,16,316,half_2,head,normal,regular_play,,,6,2298,top,True,51,exact_single_shot,1166,2025-06-12,H1_45,A,True,3-4-3,1,64,True,2,14,177.51,6.491,7.71,0,0,0,0,4,21,294.61,6.639,8.48,0,0,0,0
39760,tail,H2_30,END,75,90,17,319,half_2,head,normal,corner_kick,,,31,2299,top,True,76,exact_single_shot,1166,2025-06-12,H2_30,D,False,4-2-3-1,1,90,False,0,2,31.28,6.5,6.56,0,0,0,0,3,20,268.3,6.457,8.02,0,0,0,0
39763,transition,H1_45,H2_15,45,60,18,315,half_2,left_foot,normal,regular_play,,,3,2299,top,True,48,exact_single_shot,1166,2025-06-12,H1_45,A,False,4-2-3-1,1,69,True,1,11,133.08,6.425,7.16,0,0,0,0,9,33,470.0,6.685,8.57,0,0,0,0
39769,transition,H1_30,H1_45,30,45,19,310,half_1,left_foot,normal,regular_play,,,39,2299,top,False,39,exact_single_shot,1166,2025-06-12,H1_30,M,False,4-2-3-1,1,90,False,2,5,108.69,6.914,8.93,0,0,0,0,6,15,237.93,6.881,8.93,0,0,0,0
39931,tail,H2_30,END,75,90,21,398,half_2,right_foot,normal,regular_play,,,44,2306,top,True,89,exact_single_shot,1170,2025-06-14,H2_30,M,True,4-2-3-1,1,90,False,2,10,149.48,6.526,7.44,0,0,0,0,7,52,783.22,6.51,8.57,2,1,0,2
39949,tail,H2_30,END,75,90,23,411,half_2,head,normal,regular_play,,,39,2307,top,False,84,exact_single_shot,1170,2025-06-14,H2_30,D,False,4-3-3,1,90,False,1,8,99.74,6.643,7.58,0,0,0,0,4,31,420.63,6.708,9.77,0,0,0,0
39953,tail,H2_30,END,75,90,24,407,half_2,left_foot,normal,regular_play,,,31,2307,top,True,76,exact_single_shot,1170,2025-06-14,H2_30,A,False,4-3-3,55,90,False,2,5,108.3,6.923,8.83,0,0,0,0,2,7,129.35,6.704,8.83,1,1,1,1
39984,tail,H2_30,END,75,90,26,432,half_2,right_foot,other,regular_play,,,43,2308,top,True,88,exact_single_shot,1171,2025-06-14,H2_30,A,True,4-1-4-1,46,90,False,0,3,36.64,6.63,6.97,0,0,0,0,1,9,131.2,6.623,9.04,1,0,1,1
40731,transition,H1_15,H1_30,15,30,27,860,half_1,right_foot,normal,regular_play,,,24,2343,top,True,24,exact_single_shot,1188,2025-06-17,H1_15,D,False,4-1-4-1,1,90,False,0,4,69.62,6.562,6.96,0,0,0,0,0,4,69.62,6.562,6.96,0,0,0,0
40741,transition,H2_15,H2_30,60,75,29,866,half_2,right_foot,normal,regular_play,,,17,2343,top,True,62,exact_single_shot,1188,2025-06-17,H2_15,M,False,4-1-4-1,1,81,True,1,4,63.53,6.68,7.45,1,0,0,1,9,33,524.16,6.795,8.43,2,0,1,2
40836,transition,H1_45,H2_15,45,60,31,906,half_2,left_foot,normal,regular_play,,,4,2347,top,True,49,exact_single_shot,1190,2025-06-15,H1_45,A,False,4-3-3,1,62,True,2,9,184.97,6.709,7.9,0,0,0,0,4,27,442.13,6.532,7.9,1,0,1,1
40875,transition,H1_45,H2_15,45,60,32,971,half_2,right_foot,normal,regular_play,,,2,2349,top,True,47,exact_single_shot,1191,2025-06-15,H1_45,A,False,4-2-3-1,1,72,True,1,5,69.68,6.708,8.73,2,1,2,2,9,27,504.91,6.974,9.33,3,1,3,3
41162,transition,H2_15,H2_30,60,75,33,1073,half_2,right_foot,volley,indirect_free_kick,,,21,2362,top,True,66,exact_single_shot,1198,2025-06-15,H2_15,D,True,3-4-3,1,78,True,2,6,106.02,7.747,9.61,0,0,0,0,4,17,259.79,6.953,9.61,0,0,0,0
41171,transition,H1_45,H2_15,45,60,34,1065,half_2,right_foot,volley,regular_play,,,13,2363,middle,True,58,exact_single_shot,1198,2025-06-15,H1_45,M,False,4-4-2,1,90,False,0,12,206.24,6.401,7.03,1,0,0,1,3,30,481.14,6.522,8.22,1,0,0,1
41173,transition,H1_30,H1_45,30,45,35,1066,half_1,left_foot,normal,regular_play,,,34,2363,top,True,34,exact_single_shot,1198,2025-06-15,H1_30,A,False,4-4-2,1,71,True,0,5,39.4,5.906,6.08,0,0,0,0,1,13,150.01,6.357,7.99,0,0,0,0
41174,transition,H1_45,H2_15,45,60,36,1069,half_2,head,normal,indirect_free_kick,,,9,2363,top,True,54,exact_single_shot,1198,2025-06-15,H1_45,A,False,4-4-2,1,90,False,2,7,124.46,6.78,8.31,1,0,1,1,4,18,246.13,6.595,8.31,1,0,1,1
41181,transition,H1_30,H1_45,30,45,37,1046,half_1,left_foot,normal,counter_attack,,,41,2363,top,True,41,exact_single_shot,1198,2025-06-15,H1_30,M,False,4-4-2,1,89,True,2,7,125.83,6.803,8.04,0,0,0,0,6,20,359.4,6.856,9.05,2,0,1,2
41245,transition,H1_45,H2_15,45,60,38,1108,half_2,right_foot,normal,counter_attack,,,8,2366,top,True,53,exact_single_shot,1200,2025-06-17,H1_45,M,True,4-2-3-1,1,65,True,0,7,135.52,6.466,6.83,0,0,0,0,2,25,352.98,6.343,7.87,0,0,0,0
41263,transition,H1_45,H2_15,45,60,39,1104,half_2,right_foot,normal,regular_play,,,14,2367,top,True,59,exact_single_shot,1200,2025-06-17,H1_45,A,False,3-4-3,1,90,True,1,8,124.68,6.583,7.19,1,0,1,1,3,27,352.5,6.416,7.68,1,0,1,1
41326,transition,H2_15,H2_30,60,75,40,1159,half_2,left_foot,normal,corner_kick,,,22,2370,top,True,67,exact_single_shot,1202,2025-06-17,H2_15,D,True,4-2-3-1,1,90,False,1,5,76.52,6.738,7.68,0,0,0,0,4,18,267.54,6.622,8.45,0,0,0,0
41421,transition,H2_15,H2_30,60,75,42,1200,half_2,left_foot,normal,counter_attack,,,23,2374,top,True,68,exact_single_shot,1204,2025-06-18,H2_15,A,True,4-3-3,1,90,False,2,7,142.97,6.714,8.18,1,1,1,1,11,29,555.77,6.813,8.57,2,2,2,2
41436,transition,H2_15,H2_30,60,75,43,1207,half_2,left_foot,normal,regular_play,,,28,2375,top,True,73,exact_single_shot,1204,2025-06-18,H2_15,A,False,4-4-2,1,90,False,0,5,70.91,6.13,6.48,1,0,1,1,5,34,479.06,6.541,8.18,2,0,2,2
41443,tail,H2_30,END,75,90,44,1212,half_2,right_foot,normal,indirect_free_kick,,,37,2375,top,True,82,exact_single_shot,1204,2025-06-18,H2_30,M,False,4-4-2,1,90,False,2,7,116.62,6.626,8.58,0,0,0,0,11,30,558.98,6.991,9.7,3,0,3,3
41472,transition,H1_45,H2_15,45,60,45,1239,half_2,right_foot,normal,regular_play,,,11,2376,top,True,56,exact_single_shot,1205,2025-06-18,H1_45,A,True,4-3-3,1,79,True,3,13,194.99,6.591,7.61,0,0,0,0,10,37,610.42,6.781,8.33,1,0,1,1
41474,transition,H1_30,H1_45,30,45,46,1241,half_1,right_foot,normal,counter_attack,,,34,2376,top,False,34,exact_single_shot,1205,2025-06-18,H1_30,M,True,4-3-3,1,73,True,2,3,110.37,7.084,9.08,0,0,0,0,7,13,381.75,7.112,9.08,0,0,0,0
41891,transition,H1_45,H2_15,45,60,50,1518,half_2,left_foot,normal,throw_in,,,4,2398,top,True,49,exact_single_shot,1216,2025-06-21,H1_45,M,True,4-1-4-1,1,90,False,1,17,212.78,6.226,7.4,0,0,0,0,7,45,605.38,6.389,8.2,0,0,0,0
41894,transition,H1_15,H1_30,15,30,51,1506,half_1,right_foot,normal,regular_play,,,18,2398,top,True,18,exact_single_shot,1216,2025-06-21,H1_15,M,True,4-1-4-1,1,72,True,2,8,132.4,6.685,8.93,0,0,0,0,2,8,132.4,6.685,8.93,0,0,0,0
41908,tail,H2_30,END,75,90,52,1520,half_2,left_foot,normal,regular_play,,,39,2399,top,True,84,exact_single_shot,1216,2025-06-21,H2_30,D,False,4-2-3-1,1,90,False,1,6,67.47,6.661,7.19,0,0,0,0,8,31,482.51,6.721,9.56,1,1,1,1
42205,tail,H2_30,END,75,90,56,1664,half_2,left_foot,normal,regular_play,,42214.0,44,2412,top,True,89,exact_single_shot,1219,2025-06-25,H2_30,M,True,4-4-2,72,90,False,3,8,150.54,7.101,8.51,0,0,0,0,3,8,150.54,7.101,8.51,0,0,0,0
42300,transition,H2_30,H2_45,75,90,59,1727,half_2,right_foot,normal,regular_play,,,42,2416,top,True,87,exact_single_shot,1221,2025-06-22,H2_30,A,True,4-4-2,62,120,False,0,5,78.97,6.408,6.93,0,0,0,0,0,5,78.97,6.408,6.93,0,0,0,0
42312,transition,H2_45,ET1_15,90,105,60,1730,half_2,right_foot,normal,indirect_free_kick,,,51,2417,top,False,96,exact_single_shot,1221,2025-06-22,H2_45,A,False,3-4-2-1,87,120,False,0,2,23.87,6.195,6.74,0,0,0,0,0,2,23.87,6.195,6.74,0,0,0,0
42717,transition,H2_15,H2_30,60,75,63,1904,half_2,right_foot,normal,corner_kick,,,16,2435,top,True,61,exact_single_shot,1225,2025-06-28,H2_15,M,False,4-4-2,1,120,False,2,9,119.15,6.452,7.83,2,1,1,2,10,41,673.57,6.71,9.15,2,1,1,2
65534,transition,H1_30,H1_45,30,45,66,3362,half_1,left_foot,normal,regular_play,,,41,3750,top,True,41,exact_single_shot,1167,2025-06-14,H1_30,M,True,4-3-3,1,46,True,1,8,3333.96,6.517,7.22,0,0,0,0,3,13,6140.01,6.529,7.93,0,0,0,0
65535,transition,H1_15,H1_30,15,30,67,3360,half_1,right_foot,normal,counter_attack,,,30,3750,top,True,30,exact_single_shot,1167,2025-06-14,H1_15,A,True,4-3-3,1,61,True,1,3,1396.7,6.957,7.68,0,0,0,0,1,3,1396.7,6.957,7.68,0,0,0,0
65544,transition,H2_15,H2_30,60,75,69,3365,half_2,right_foot,normal,counter_attack,,,18,3750,top,False,63,exact_single_shot,1167,2025-06-14,H2_15,A,True,4-3-3,46,90,False,5,7,4532.62,7.313,9.51,0,0,0,0,5,7,4532.62,7.313,9.51,0,0,0,0
65593,transition,H1_45,H2_15,45,60,71,3379,half_2,left_foot,normal,corner_kick,,,10,3753,top,False,55,exact_single_shot,1161,2025-06-11,H1_45,M,False,4-3-3,1,66,True,1,7,1731.97,6.295,8.13,0,0,0,0,5,23,7503.54,6.632,8.13,0,0,0,0
65769,transition,H1_15,H1_30,15,30,74,3487,half_1,head,normal,regular_play,,,18,3760,top,True,18,exact_single_shot,1201,2025-06-17,H1_15,D,True,4-2-3-1,1,90,False,0,6,1313.03,5.928,6.41,0,0,0,0,0,6,1313.03,5.928,6.41,0,0,0,0
65775,transition,H2_15,H2_30,60,75,76,3500,half_2,head,normal,corner_kick,,,16,3761,top,True,61,exact_single_shot,1201,2025-06-17,H2_15,D,False,5-2-3,1,90,False,0,4,1863.75,6.377,6.76,0,0,0,0,3,19,6761.84,6.642,8.47,0,0,0,0
