player_appearance_id,window_type,start_checkpoint,end_checkpoint,start_abs,end_abs,window_id,id,period,body_part,technique,play_pattern,own_goal_player_appearance_id,block_player_appearance_id,minute,possession,stage,under_pressure,abs_minute
40830,transition,H1_15,H1_30,15,30,30,909,half_1,right_foot,normal,regular_play,,,28,2347,top,True,28
40836,transition,H1_45,H2_15,45,60,31,906,half_2,left_foot,normal,regular_play,,,4,2347,top,True,49
40875,transition,H1_45,H2_15,45,60,32,971,half_2,right_foot,normal,regular_play,,,2,2349,top,True,47
41162,transition,H2_15,H2_30,60,75,33,1073,half_2,right_foot,volley,indirect_free_kick,,,21,2362,top,True,66
41171,transition,H1_45,H2_15,45,60,34,1065,half_2,right_foot,volley,regular_play,,,13,2363,middle,True,58
41173,transition,H1_30,H1_45,30,45,35,1066,half_1,left_foot,normal,regular_play,,,34,2363,top,True,34
41174,transition,H1_45,H2_15,45,60,36,1069,half_2,head,normal,indirect_free_kick,,,9,2363,top,True,54
41181,transition,H1_30,H1_45,30,45,37,1046,half_1,left_foot,normal,counter_attack,,,41,2363,top,True,41
41245,transition,H1_45,H2_15,45,60,38,1108,half_2,right_foot,normal,counter_attack,,,8,2366,top,True,53
41263,transition,H1_45,H2_15,45,60,39,1104,half_2,right_foot,normal,regular_play,,,14,2367,top,True,59
41326,transition,H2_15,H2_30,60,75,40,1159,half_2,left_foot,normal,corner_kick,,,22,2370,top,True,67
41346,transition,H1_45,H2_15,45,60,41,1154,half_2,left_foot,normal,direct_free_kick,,,7,2371,top,False,52
41346,transition,H1_45,H2_15,45,60,41,1155,half_2,left_foot,overhead_kick,counter_attack,,,9,2371,top,True,54
41346,transition,H1_45,H2_15,45,60,41,1156,half_2,left_foot,normal,indirect_free_kick,,,12,2371,top,True,57
41421,transition,H2_15,H2_30,60,75,42,1200,half_2,left_foot,normal,counter_attack,,,23,2374,top,True,68
41436,transition,H2_15,H2_30,60,75,43,1207,half_2,left_foot,normal,regular_play,,,28,2375,top,True,73
41443,tail,H2_30,END,75,90,44,1212,half_2,right_foot,normal,indirect_free_kick,,,37,2375,top,True,82
41472,transition,H1_45,H2_15,45,60,45,1239,half_2,right_foot,normal,regular_play,,,11,2376,top,True,56
41474,transition,H1_30,H1_45,30,45,46,1241,half_1,right_foot,normal,counter_attack,,,34,2376,top,False,34
41518,tail,H2_30,END,75,90,47,1274,half_2,right_foot,normal,regular_play,,,31,2378,top,True,76
41518,tail,H2_30,END,75,90,47,1275,half_2,right_foot,normal,regular_play,,,34,2378,top,True,79
41533,transition,H1_30,H1_45,30,45,48,1261,half_1,head,normal,regular_play,,,33,2379,top,True,33
41533,transition,H1_30,H1_45,30,45,48,1262,half_1,head,normal,regular_play,,,41,2379,top,True,41
41572,transition,H1_45,H2_15,45,60,49,1296,half_2,head,normal,regular_play,,,14,2381,top,True,59
41572,transition,H1_45,H2_15,45,60,49,1297,half_2,right_foot,normal,regular_play,,,15,2381,top,True,60
41891,transition,H1_45,H2_15,45,60,50,1518,half_2,left_foot,normal,throw_in,,,4,2398,top,True,49
41894,transition,H1_15,H1_30,15,30,51,1506,half_1,right_foot,normal,regular_play,,,18,2398,top,True,18
41908,tail,H2_30,END,75,90,52,1520,half_2,left_foot,normal,regular_play,,,39,2399,top,True,84
41914,transition,H1_30,H1_45,30,45,53,1509,half_1,right_foot,normal,regular_play,,,40,2399,top,False,40
41914,transition,H1_30,H1_45,30,45,53,1510,half_1,left_foot,normal,regular_play,,,44,2399,top,True,44
41916,tail,H2_30,END,75,90,54,1498,half_2,right_foot,volley,corner_kick,,,33,2399,top,True,78
41916,tail,H2_30,END,75,90,54,1499,half_2,right_foot,normal,regular_play,,41891.0,38,2399,top,True,83
41916,tail,H2_30,END,75,90,54,1500,half_2,right_foot,normal,counter_attack,,,40,2399,top,True,85
42166,tail,H2_30,END,75,90,55,1626,half_2,right_foot,normal,regular_play,,42181.0,38,2410,top,True,83
42166,tail,H2_30,END,75,90,55,1627,half_2,left_foot,normal,regular_play,,,41,2410,top,True,86
42205,tail,H2_30,END,75,90,56,1664,half_2,left_foot,normal,regular_play,,42214.0,44,2412,top,True,89
42294,tail,ET1_15,END,105,120,57,1725,extra_time_2,right_foot,normal,regular_play,,42314.0,2,2416,top,True,107
42294,tail,ET1_15,END,105,120,57,1726,extra_time_2,right_foot,normal,regular_play,,,12,2416,top,False,117
42296,transition,H2_15,H2_30,60,75,58,1709,half_2,head,normal,regular_play,,,17,2416,top,True,62
42296,transition,H2_15,H2_30,60,75,58,1710,half_2,head,normal,corner_kick,,,23,2416,top,True,68
42300,transition,H2_30,H2_45,75,90,59,1727,half_2,right_foot,normal,regular_play,,,42,2416,top,True,87
42312,transition,H2_45,ET1_15,90,105,60,1730,half_2,right_foot,normal,indirect_free_kick,,,51,2417,top,False,96
42318,transition,H1_45,H2_15,45,60,61,1706,half_2,right_foot,normal,regular_play,,,3,2417,top,True,48
42318,transition,H1_45,H2_15,45,60,61,1707,half_2,right_foot,normal,counter_attack,,,13,2417,top,True,58
42716,transition,H1_45,H2_15,45,60,62,1899,half_1,head,normal,regular_play,,,46,2435,top,True,46
42716,transition,H1_45,H2_15,45,60,62,1900,half_2,left_foot,normal,regular_play,,42689.0,4,2435,top,True,49
42717,transition,H2_15,H2_30,60,75,63,1904,half_2,right_foot,normal,corner_kick,,,16,2435,top,True,61
43976,transition,H1_30,H1_45,30,45,64,2437,half_1,right_foot,normal,penalty,,,39,2490,top,False,39
43976,transition,H1_30,H1_45,30,45,64,2438,half_1,right_foot,normal,regular_play,,,40,2490,top,True,40
65534,transition,H1_30,H1_45,30,45,66,3362,half_1,left_foot,normal,regular_play,,,41,3750,top,True,41
65535,transition,H1_15,H1_30,15,30,67,3360,half_1,right_foot,normal,counter_attack,,,30,3750,top,True,30
65539,transition,H1_15,H1_30,15,30,68,3351,half_1,right_foot,normal,counter_attack,,,16,3750,top,False,16
65539,transition,H1_15,H1_30,15,30,68,3352,half_1,right_foot,normal,regular_play,,,24,3750,top,True,24
65544,transition,H2_15,H2_30,60,75,69,3365,half_2,right_foot,normal,counter_attack,,,18,3750,top,False,63
65580,transition,H2_15,H2_30,60,75,70,3381,half_2,right_foot,normal,throw_in,,,16,3752,top,True,61
65580,transition,H2_15,H2_30,60,75,70,3382,half_2,right_foot,normal,penalty,,,28,3752,top,False,73
65593,transition,H1_45,H2_15,45,60,71,3379,half_2,left_foot,normal,corner_kick,,,10,3753,top,False,55
65763,tail,H2_30,END,75,90,73,3505,half_2,right_foot,normal,indirect_free_kick,,,31,3760,top,False,76
65763,tail,H2_30,END,75,90,73,3506,half_2,head,normal,corner_kick,,,37,3760,top,True,82
65769,transition,H1_15,H1_30,15,30,74,3487,half_1,head,normal,regular_play,,,18,3760,top,True,18
65771,transition,H1_15,H1_30,15,30,75,3483,half_1,right_foot,normal,corner_kick,,,18,3760,top,True,18
65771,transition,H1_15,H1_30,15,30,75,3484,half_1,right_foot,normal,regular_play,,,19,3760,top,True,19
65771,transition,H1_15,H1_30,15,30,75,3485,half_1,left_foot,normal,regular_play,,,29,3760,top,True,29
65775,transition,H2_15,H2_30,60,75,76,3500,half_2,head,normal,corner_kick,,,16,3761,top,True,61
